abandon,əˈbændən
band,ˈbænd
bandage,ˈbændɪdʒ
bandy,ˈbændi
bang,ˈbæŋ
banish,ˈbænɪʃ
bank,ˈbæŋk
bankroll,ˈbæŋˌkɹoʊɫ
bankrupt,ˈbæŋkɹəpt
baptize,bæpˈtaɪz
bar,ˈbɑɹ
barb,ˈbɑɹb
barbeque,ˈbɑɹbɪkˌju
barber,ˈbɑɹbɝ
bare,ˈbɛɹ
bargain,ˈbɑɹɡən
barge,ˈbɑɹdʒ
bark,ˈbɑɹk
barnstorm,ˈbɑɹnˌstɔɹm
barrack,ˈbæɹək
barrel,ˈbæɹəɫ
barricade,ˈbæɹəˌkeɪd
barter,ˈbɑɹtɝ
bask,ˈbæsk
basset,ˈbæsɪt
baste,ˈbeɪst
bat,ˈbæt
batch,ˈbætʃ
bate,ˈbeɪt
bathe,ˈbeɪð
batik,bəˈtik
batten,ˈbætən
battle,ˈbætəɫ
bawl,ˈbɔɫ
bay,ˈbeɪ
bayonet,ˈbeɪəˌnɛt
be,ˈbi
beach,ˈbitʃ
beacon,ˈbikən
bead,ˈbid
beam,ˈbim
bean,ˈbin
bear,ˈbɛɹ
beard,ˈbɪɹd
beat,ˈbit
beatify,biˈætəˌfaɪ
beaver,ˈbivɝ
beckon,ˈbɛkən
become,bɪˈkəm
bed,ˈbɛd
bedizen,ˌbɪˈdizən
bedraggle,bɪˈdɹæɡəɫ
beep,ˈbip
beetle,ˈbitəɫ
befall,bɪˈfɔɫ
befit,bɪˈfɪt
befriend,bɪˈfɹɛnd
befuddle,bɪˈfədəɫ
beg,ˈbɛɡ
beget,bɪˈɡɛt
beggar,ˈbɛɡɝ
begin,bɪˈɡɪn
begrudge,bɪˈɡɹədʒ
behave,bɪˈheɪv
behold,bɪˈhoʊɫd
behoove,bɪˈhuv
belabor,bɪˈɫeɪbɝ
believe,bɪˈɫiv
bell,ˈbɛɫ
bellow,ˈbɛɫoʊ
belly,ˈbɛɫi
belong,bɪˈɫɔŋ
belt,ˈbɛɫt
bench,ˈbɛntʃ
bend,ˈbɛnd
benefit,ˈbɛnəfɪt
benight,biˈnaɪt
bequeath,bɪˈkwiθ
bereave,bɝˈiv
berry,ˈbɛɹi
berth,ˈbɝθ
beset,bɪˈsɛt
besiege,bɪˈsidʒ
bespeak,bɪˈspik
bestow,bɪˈstoʊ
bet,ˈbɛt
betray,bɪˈtɹeɪ
better,ˈbɛtɝ
bevel,ˈbɛvəɫ
bewilder,bɪˈwɪɫdɝ
bias,ˈbaɪəs
bicycle,ˈbaɪsɪkəɫ
bid,ˈbɪd
bide,ˈbaɪd
bifurcate,ˈbaɪfɝˌkeɪt
bight,ˈbaɪt
bilk,ˈbɪɫk
bill,ˈbɪɫ
billow,ˈbɪɫoʊ
bin,ˈbɪn
bind,ˈbaɪnd
birch,ˈbɝtʃ
bird,ˈbɝd
birdie,ˈbɝdi
bite,ˈbaɪt
bitter,ˈbɪtɝ
blackberry,ˈbɫækˌbɛɹi
blacken,ˈbɫækən
blacklist,ˈbɫæˌkɫɪst
blackmail,ˈbɫækˌmeɪɫ
blacktop,ˈbɫækˌtɑp
blame,ˈbɫeɪm
blanch,ˈbɫæntʃ
blank,ˈbɫæŋk
blanket,ˈbɫæŋkət
blast,ˈbɫæst
blaze,ˈbɫeɪz
bleach,ˈbɫitʃ
bleed,ˈbɫid
bleep,ˈbɫip
blemish,ˈbɫɛmɪʃ
blend,ˈbɫɛnd
bless,ˈbɫɛs
blight,ˈbɫaɪt
blind,ˈbɫaɪnd
blindfold,ˈbɫaɪndˌfoʊɫd
blindside,ˈbɫaɪndˌsaɪd
blink,ˈbɫɪŋk
blister,ˈbɫɪstɝ
blitz,ˈbɫɪts
blitzkrieg,ˈbɫɪtsˌkɹiɡ
block,ˈbɫɑk
blockade,ˌbɫɑˈkeɪd
blog,ˈbɫɔɡ
blood,ˈbɫəd
bloody,ˈbɫədi
bloom,ˈbɫum
blossom,ˈbɫɑsəm
blot,ˈbɫɑt
blow,ˈbɫoʊ
blubber,ˈbɫəbɝ
bludgeon,ˈbɫədʒən
blue,ˈbɫu
blueprint,ˈbɫuˌpɹɪnt
bluff,ˈbɫəf
blunt,ˈbɫənt
blur,ˈbɫɝ
blush,ˈbɫəʃ
bluster,ˈbɫəstɝ
board,ˈbɔɹd
boast,ˈboʊst
boat,ˈboʊt
bob,ˈbɑb
bobsled,ˈbɑbˌsɫɛd
bode,ˈboʊd
body,ˈbɑdi
bogey,ˈboʊɡi
boggle,ˈbɑɡəɫ
boil,ˈbɔɪɫ
boldface,ˈboʊɫdˌfeɪs
bolster,ˈboʊɫstɝ
bolt,ˈboʊɫt
bombard,bɑmˈbɑɹd
bond,ˈbɑnd
bone,ˈboʊn
bong,ˈbɑŋ
bonnet,ˈbɑnət
boo,ˈbu
boogie,ˈbuɡi
book,ˈbʊk
boom,ˈbum
boomerang,ˈbumɝˌæŋ
boondoggle,ˌbunˈdɑɡəɫ
boost,ˈbust
boot,ˈbut
bootleg,ˈbutˌɫɛɡ
bootstrap,ˈbutˌstɹæp
bop,ˈbɑp
border,ˈbɔɹdɝ
bore,ˈbɔɹ
borrow,ˈbɑˌɹoʊ
bosom,ˈbʊzəm
botch,ˈbɑtʃ
bother,ˈbɑðɝ
bottle,ˈbɑtəɫ
bottleneck,ˈbɑtəɫˌnɛk
bottom,ˈbɑtəm
bounce,ˈbaʊns
bound,ˈbaʊnd
bow,ˈbaʊ
bowl,ˈboʊɫ
bowse,ˈboʊs
box,ˈbɑks
boycott,ˈbɔɪˌkɑt
brace,ˈbɹeɪs
bracket,ˈbɹækɪt
brad,ˈbɹæd
braid,ˈbɹeɪd
braille,ˈbɹeɪɫ
brain,ˈbɹeɪn
brainstorm,ˈbɹeɪnˌstɔɹm
brainwash,ˈbɹeɪnˌwɑʃ
braise,ˈbɹeɪz
brake,ˈbɹeɪk
branch,ˈbɹæntʃ
brand,ˈbɹænd
brandish,ˈbɹændɪʃ
bravo,ˈbɹɑvoʊ
brawl,ˈbɹɔɫ
bray,ˈbɹeɪ
brazen,ˈbɹeɪzən
bread,ˈbɹɛd
break,ˈbɹeɪk
breakfast,ˈbɹɛkfəst
bream,ˈbɹim
breast,ˈbɹɛst
breastfeed,ˈbɹɛstfid
breathe,ˈbɹið
breed,ˈbɹid
breeze,ˈbɹiz
brew,ˈbɹu
bribe,ˈbɹaɪb
bridge,ˈbɹɪdʒ
bridle,ˈbɹaɪdəɫ
brief,ˈbɹif
brigade,bɹəˈɡeɪd
brighten,ˈbɹaɪtən
brim,ˈbɹɪm
brine,ˈbɹaɪn
bring,ˈbɹɪŋ
brisk,ˈbɹɪsk
bristle,ˈbɹɪsəɫ
broach,ˈbɹoʊtʃ
broadcast,ˈbɹɔdˌkæst
broaden,ˈbɹɔdən
broadside,ˈbɹɔdˌsaɪd
brocade,bɹoʊˈkeɪd
broil,ˈbɹɔɪɫ
broker,ˈbɹoʊkɝ
bronze,ˈbɹɑnz
brooch,ˈbɹoʊtʃ
brood,ˈbɹud
broom,ˈbɹum
browbeat,ˈbɹaʊˌbit
brown,ˈbɹaʊn
browse,ˈbɹaʊz
bruise,ˈbɹuz
brunch,ˈbɹəntʃ
brush,ˈbɹəʃ
brutalize,ˈbɹutəˌɫaɪz
bubble,ˈbəbəɫ
buccaneer,ˌbəkəˈniɹ
buck,ˈbək
bucket,ˈbəkət
buckle,ˈbəkəɫ
bud,ˈbəd
budget,ˈbədʒɪt
buff,ˈbəf
buffalo,ˈbəfəˌɫoʊ
buffer,ˈbəfɝ
buffet,ˈbəfət
bugle,ˈbjuɡəɫ
build,ˈbɪɫd
bulge,ˈbəɫdʒ
bull,ˈbʊɫ
bulldog,ˈbʊɫˌdɔɡ
bulldoze,ˈbʊɫˌdoʊz
bulletin,ˈbʊɫɪtən
bulletproof,ˈbʊɫətˌpɹuf
bulwark,ˈbʊɫwɝk
bum,ˈbəm
bumble,ˈbəmbəɫ
bump,ˈbəmp
bundle,ˈbəndəɫ
bung,ˈbəŋ
bunk,ˈbəŋk
bunker,ˈbəŋkɝ
bunt,ˈbənt
buoy,ˈbui
bur,ˈbɝ
burden,ˈbɝdən
burgeon,ˈbɝdʒən
burglarize,ˈbɝɡɫɝˌaɪz
burke,ˈbɝk
burl,ˈbɝɫ
burn,ˈbɝn
burp,ˈbɝp
burrow,ˈbɝoʊ
burst,ˈbɝst
bury,ˈbɛɹi
bus,ˈbəs
bush,ˈbʊʃ
bushwhack,ˈbʊʃˌwæk
bustle,ˈbəsəɫ
busy,ˈbɪzi
butcher,ˈbʊtʃɝ
butt,ˈbət
butter,ˈbətɝ
butterfly,ˈbətɝˌfɫaɪ
button,ˈbətən
buttress,ˈbətɹəs
buy,ˈbaɪ
buzz,ˈbəz
bypass,ˈbaɪˌpæs
cabin,ˈkæbən
cable,ˈkeɪbəɫ
cackle,ˈkækəɫ
caddie,ˈkædi
cage,ˈkeɪdʒ
calcify,ˈkæɫsəˌfaɪ
calculate,ˈkæɫkjəˌɫeɪt
calendar,ˈkæɫəndɝ
calender,ˈkæɫəndɝ
calibrate,ˈkæɫəˌbɹeɪt
caliper,ˈkæɫəpɝ
calk,ˈkɔk
call,ˈkɔɫ
callous,ˈkæɫəs
callus,ˈkæɫəs
calm,ˈkɑɫm
camber,ˈkæmbɝ
camouflage,ˈkæməˌfɫɑʒ
camp,ˈkæmp
campaign,kæmˈpeɪn
can,ˈkæn
canal,kəˈnæɫ
cancel,ˈkænsəɫ
candle,ˈkændəɫ
cane,ˈkeɪn
canker,ˈkæŋkɝ
cannibalize,ˈkænəbəˌɫaɪz
cannon,ˈkænən
canoe,kəˈnu
canonize,ˈkænəˌnaɪz
canopy,ˈkænəpi
cant,ˈkænt
canter,ˈkæntɝ
canton,ˈkæntən
canvas,ˈkænvəs
canvass,ˈkænvəs
cap,ˈkæp
caper,ˈkeɪpɝ
capitalize,ˈkæpətəˌɫaɪz
capitulate,kəˈpɪtʃuɫeɪt
capsize,ˈkæpˌsaɪz
capsule,ˈkæpsəɫ
captain,ˈkæptən
caption,ˈkæpʃən
capture,ˈkæptʃɝ
caramelize,ˈkɛɹəməˌɫaɪz
caravan,ˈkæɹəˌvæn
carbonate,ˈkɑɹbəˌneɪt
carbonize,ˈkɑɹbəˌnaɪz
card,ˈkɑɹd
care,ˈkɛɹ
careen,kɝˈin
career,kɝˈɪɹ
caress,kɝˈɛs
caricature,ˈkɛɹəkətʃɝ
carjack,ˈkɑɹˌdʒæk
carmine,ˈkɑɹmən
carol,ˈkæɹəɫ
carouse,kɝˈaʊz
carpenter,ˈkɑɹpəntɝ
carpet,ˈkɑɹpət
carry,ˈkæɹi
cart,ˈkɑɹt
cartoon,kɑɹˈtun
cartwheel,ˈkɑɹtˌwiɫ
carve,ˈkɑɹv
cascade,kæˈskeɪd
case,ˈkeɪs
cash,ˈkæʃ
cashier,kæˈʃɪɹ
casket,ˈkæskət
cast,ˈkæst
castigate,ˈkæstəˌɡeɪt
castle,ˈkæsəɫ
cat,ˈkæt
catalogue,ˈkætəˌɫɔɡ
catalyze,ˈkætəˌɫaɪz
catapult,ˈkætəˌpəɫt
catcall,ˈkætˌkɔɫ
catch,ˈkætʃ
categorize,ˈkætəɡɝˌaɪz
cater,ˈkeɪtɝ
caucus,ˈkɑkəs
caulk,ˈkɑk
cause,ˈkɑz
causeway,ˈkɑzˌweɪ
cauterize,ˈkɔtɝaɪz
caution,ˈkɑʃən
cave,ˈkeɪv
cavern,ˈkævɝn
caw,ˈkɔ
celebrate,ˈsɛɫəˌbɹeɪt
cement,səˈmɛnt
censor,ˈsɛnsɝ
census,ˈsɛnsəs
center,ˈsɛnɝ
centralize,ˈsɛntɹəˌɫaɪz
centrifuge,ˈsɛntɹəfˌjudʒ
certificate,sɝˈtɪfɪkət
certify,ˈsɝtəˌfaɪ
chafe,ˈtʃeɪf
chain,ˈtʃeɪn
chair,ˈtʃɛɹ
chalk,ˈtʃɑk
challenge,ˈtʃæɫəndʒ
chamber,ˈtʃeɪmbɝ
champ,ˈtʃæmp
champion,ˈtʃæmpiən
chance,ˈtʃæns
change,ˈtʃeɪndʒ
channel,ˈtʃænəɫ
chant,ˈtʃænt
chaperone,ˈʃæpɝˌoʊn
char,ˈtʃɑɹ
character,ˈkɛɹɪktɝ
characterize,ˈkɛɹəktɝˌaɪz
charcoal,ˈtʃɑɹˌkoʊɫ
charge,ˈtʃɑɹdʒ
chariot,ˈtʃɛɹiət
charm,ˈtʃɑɹm
chart,ˈtʃɑɹt
charter,ˈtʃɑɹtɝ
chase,ˈtʃeɪs
chasse,ˈtʃæs
chasten,ˈtʃeɪsən
chastise,tʃæˈstaɪz
chatter,ˈtʃætɝ
chaw,ˈtʃɔ
cheat,ˈtʃit
check,ˈtʃɛk
checker,ˈtʃɛkɝ
checkmate,ˈtʃɛkˌmeɪt
cheek,ˈtʃik
cheer,ˈtʃɪɹ
cheese,ˈtʃiz
cheque,ˈtʃɛk
chew,ˈtʃu
chill,ˈtʃɪɫ
chime,ˈtʃaɪm
chin,ˈtʃɪn
chink,ˈtʃɪŋk
chip,ˈtʃɪp
chisel,ˈtʃɪzəɫ
chitter,ˈtʃɪtɝ
chlorinate,ˈkɫɔɹəˌneɪt
chloroform,ˈkɫɔɹəˌfɔɹm
chock,ˈtʃɑk
choir,ˈkwaɪɝ
choke,ˈtʃoʊk
chomp,ˈtʃɑmp
choose,ˈtʃuz
chop,ˈtʃɑp
chord,ˈkɔɹd
choreograph,ˈkɔɹiəˌɡɹæf
chorus,ˈkɔɹəs
christmas,ˈkɹɪsməs
chrome,ˈkɹoʊm
chronicle,ˈkɹɑnɪkəɫ
chuck,ˈtʃək
chuckle,ˈtʃəkəɫ
chug,ˈtʃəɡ
church,ˈtʃɝtʃ
churn,ˈtʃɝn
chute,ˈʃut
cinch,ˈsɪntʃ
circle,ˈsɝkəɫ
circuit,ˈsɝkət
circularize,ˈsɝkjəɫɝˌaɪz
circulate,ˈsɝkjəˌɫeɪt
circumcise,ˈsɝkəmˌsaɪz
circumnavigate,ˌsɝkəmˈnævəˌɡeɪt
circumscribe,ˌsɝkəmsˈkɹaɪb
civilize,ˈsɪvəˌɫaɪz
claim,ˈkɫeɪm
clam,ˈkɫæm
clamber,ˈkɫæmbɝ
clamor,ˈkɫæmɝ
clamp,ˈkɫæmp
clang,ˈkɫæŋ
clank,ˈkɫæŋk
clap,ˈkɫæp
clapboard,ˈkɫæpˌbɔɹd
clarify,ˈkɫɛɹəˌfaɪ
clarion,ˈkɫɛɹiən
clash,ˈkɫæʃ
clasp,ˈkɫæsp
classify,ˈkɫæsəˌfaɪ
clatter,ˈkɫætɝ
claw,ˈkɫɔ
clean,ˈkɫin
cleanse,ˈkɫɛnz
clear,ˈkɫɪɹ
cleat,ˈkɫit
cleave,ˈkɫiv
clench,ˈkɫɛntʃ
clerk,ˈkɫɝk
click,ˈkɫɪk
climb,ˈkɫaɪm
clinch,ˈkɫɪntʃ
cling,ˈkɫɪŋ
clink,ˈkɫɪŋk
clip,ˈkɫɪp
clobber,ˈkɫɑbɝ
clock,ˈkɫɑk
clog,ˈkɫɑɡ
cloister,ˈkɫɔɪstɝ
clone,ˈkɫoʊn
close,ˈkɫoʊs
closet,ˈkɫɑzət
closure,ˈkɫoʊʒɝ
cloud,ˈkɫaʊd
clout,ˈkɫaʊt
clown,ˈkɫaʊn
cloy,ˈkɫɔɪ
club,ˈkɫəb
clue,ˈkɫu
clump,ˈkɫəmp
cluster,ˈkɫəstɝ
clutter,ˈkɫətɝ
coach,ˈkoʊtʃ
coal,ˈkoʊɫ
coalesce,ˌkoʊəˈɫɛs
coast,ˈkoʊst
coat,ˈkoʊt
cobble,ˈkɑbəɫ
cock,ˈkɑk
cocoon,kəˈkun
coddle,ˈkɑdəɫ
code,ˈkoʊd
codify,ˈkoʊdəˌfaɪ
coerce,koʊˈɝs
coexist,ˌkoʊəɡˈzɪst
coffin,ˈkɔfɪn
cog,ˈkɔɡ
cogitate,ˈkɑdʒɪˌteɪt
cohabit,koʊˈhæbɪt
cohere,koʊˈhɪɹ
coif,ˈkwɑf
coil,ˈkɔɪɫ
coin,ˈkɔɪn
coincide,ˌkoʊɪnˈsaɪd
coke,ˈkoʊk
collaborate,kəˈɫæbɝˌeɪt
collapse,kəˈɫæps
collar,ˈkɑɫɝ
collate,kəˈɫeɪt
collateralize,kəˈɫætɝəˌɫaɪz
collect,kəˈɫɛkt
collectivize,kəˈɫɛktɪˌvaɪz
collide,kəˈɫaɪd
colonize,ˈkɑɫəˌnaɪz
color,ˈkəɫɝ
comb,ˈkoʊm
combine,ˈkɑmbaɪn
combust,kəmˈbəst
come,ˈkəm
comfort,ˈkəmfɝt
command,kəˈmænd
commandeer,ˌkɑmənˈdɪɹ
commemorate,kəˈmɛmɝˌeɪt
commend,kəˈmɛnd
comment,ˈkɑmɛnt
commercialize,kəˈmɝʃəˌɫaɪz
commingle,kəˈmɪŋɡəɫ
commiserate,kəˈmɪsɝˌeɪt
commission,kəˈmɪʃən
commit,kəˈmɪt
commune,ˈkɑmjun
communicate,kəmˈjunəˌkeɪt
communize,ˈkɑmjəˌnaɪz
commutate,ˌkɑmjəˈteɪt
commute,kəmˈjut
compact,ˈkɑmpækt
company,ˈkəmpəˌni
compare,kəmˈpɛɹ
compartmentalize,kəmˌpɑɹtˈmɛntəˌɫaɪz
compass,ˈkəmpəs
compel,kəmˈpɛɫ
compensate,ˈkɑmpənˌseɪt
compete,kəmˈpit
compile,kəmˈpaɪɫ
complain,kəmˈpɫeɪn
complement,ˈkɑmpɫəmənt
complete,kəmˈpɫit
complexion,kəmˈpɫɛkʃən
complicate,ˈkɑmpɫəˌkeɪt
compliment,ˈkɑmpɫəmɛnt
comply,kəmˈpɫaɪ
compose,kəmˈpoʊz
compost,ˈkɑmpoʊst
compound,ˈkɑmpaʊnd
compress,ˈkɑmpɹɛs
compromise,ˈkɑmpɹəˌmaɪz
computerize,kəmˈpjutɝˌaɪz
concatenate,kənˈkætəˌneɪt
conceal,kənˈsiɫ
concede,kənˈsid
conceive,kənˈsiv
concentrate,ˈkɑnsənˌtɹeɪt
concern,kənˈsɝn
concert,ˈkɑnsɝt
concertina,kɑnsɝˈtinə
conclude,kənˈkɫud
concoct,kənˈkɑkt
concord,ˈkɑnˌkɔɹd
concrete,ˈkɑnkɹit
concur,kənˈkɝ
condemn,kənˈdɛm
condense,kənˈdɛns
condescend,ˌkɑndɪˈsɛnd
condition,kənˈdɪʃən
conduct,ˈkɑndəkt
cone,ˈkoʊn
confect,kənˈfɛkt
confederate,kənˈfɛdɝˌeɪt
confer,kənˈfɝ
confess,kənˈfɛs
confide,kənˈfaɪd
configure,kənˈfɪɡjɝ
confine,kənˈfaɪn
confirm,kənˈfɝm
conflict,ˈkɑnfɫɪkt
conform,kənˈfɔɹm
confront,kənˈfɹənt
confuse,kənˈfjuz
conga,ˈkɔŋɡə
congratulate,kənˈɡɹætʃəˌɫeɪt
congregate,ˈkɑŋɡɹəˌɡeɪt
conjugate,ˈkɑndʒəˌɡeɪt
conk,ˈkɑŋk
conn,ˈkɑn
connect,kəˈnɛkt
connive,kəˈnaɪv
connote,kəˈnoʊt
conquer,ˈkɑŋkɝ
conscript,ˈkɑnsˌkɹɪpt
consecrate,ˈkɑnsəˌkɹeɪt
conserve,kənˈsɝv
consider,kənˈsɪdɝ
consign,kənˈsaɪn
consist,kənˈsɪst
consolidate,kənˈsɑɫɪˌdeɪt
consort,kənˈsɔɹt
conspire,kənˈspaɪɝ
constipate,ˈkɑnstəˌpeɪt
constitute,ˈkɑnstəˌtut
constrict,kənˈstɹɪkt
construct,ˈkɑnstɹəkt
consult,kənˈsəɫt
consume,kənˈsum
consummate,ˈkɑnsəˌmeɪt
contain,kənˈteɪn
containerize,kənˈteɪnɝˌaɪz
contaminate,kənˈtæməˌneɪt
contemn,ˌkənˈtɛm
contemplate,ˈkɑntəmˌpɫeɪt
contend,kənˈtɛnd
content,ˈkɑntɛnt
contest,ˈkɑntɛst
continue,kənˈtɪnju
contort,kənˈtɔɹt
contour,ˈkɑnˌtʊɹ
contract,ˈkɑnˌtɹækt
contradict,ˌkɑntɹəˈdɪkt
contrast,ˈkɑntɹæst
contribute,kənˈtɹɪbjut
